a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a
-1,0.029411765,-1,-1,0.050566744,-1,-1,1,-1,-1,1,-1,0.857142857,-1,-1,0.333333333,-1,0,-1,-1,1,0
-2,0.647058824,-2,-1,0.313689887,-2,-2,0.333333333,-2,-1,0.333333333,-1,0.053571429,-1,-1,0,-1,0,-2,-1,0,1
-3,0.117647059,-1,-2,0.101573677,-2,-3,0.333333333,-1,-1,0.666666667,-1,0.535714286,-1,-1,0,-2,1,-2,-1,1,0
-1,0.558823529,-2,-3,0.419940574,-2,-3,0.333333333,-1,-2,1,-2,0.464285714,-1,-2,0,-1,1,-2,-1,1,0
-1,0.294117647,-3,-4,0.25420931,-2,-2,0.666666667,-1,-1,1,-3,0.607142857,-1,-2,0.333333333,-1,1,-2,-1,1,1
-3,0.470588235,-2,-2,0.484483328,-1,-2,0.333333333,-1,-1,1,-3,0.285714286,-1,-2,0,-2,1,-1,-1,1,0
-3,0.294117647,-2,-3,0.142236162,-3,-1,0.666666667,-1,-1,1,-2,0.607142857,-1,-1,0,-1,0,-2,-1,1,0
-2,0.470588235,-2,-5,0.368548476,-2,-2,0.333333333,-1,-1,0.333333333,-4,0.285714286,-1,-3,0,-3,0,-1,-1,1,0
-3,0.117647059,-2,-1,0.154561461,-4,-3,0.333333333,-3,-1,1,-1,0.75,-1,-1,0,-2,0,-2,-1,1,0
-2,0.382352941,-1,-4,0.274237922,-2,-4,1,-4,-1,0.333333333,-4,0.160714286,-1,-1,0.333333333,-3,0,-2,-1,1,1
-2,0.117647059,-2,-4,0.057499725,-2,-5,0.666666667,-2,-1,0,-4,0.107142857,-1,-3,0,-1,0,-2,-1,1,1
-1,0.647058824,-2,-6,0.223286013,-2,-5,0.666666667,-2,-1,1,-2,0.089285714,-1,-3,0,-1,0,-2,-1,0,1
-2,0.117647059,-2,-1,0.07246616,-2,-2,0,-2,-1,0,-4,0.053571429,-1,-1,0,-1,0,-1,-1,0,0
-1,0.294117647,-1,-4,0.052217454,-2,-1,1,-1,-1,1,-4,0.732142857,-1,-1,0.333333333,-2,0,-2,-1,1,1
-1,0.161764706,-2,-4,0.06344228,-2,-2,0.333333333,-2,-1,1,-4,0.160714286,-1,-3,0,-1,0,-2,-1,1,0
-1,0.294117647,-2,-1,0.056784417,-5,-2,1,-2,-1,0.333333333,-4,0.232142857,-1,-1,0,-2,0,-2,-1,1,1
-3,0.294117647,-1,-1,0.119621437,-1,-1,1,-1,-1,1,-2,0.607142857,-1,-1,0.333333333,-1,0,-2,-1,1,0
-1,0.382352941,-4,-6,0.43039507,-1,-5,0.333333333,-1,-1,0.666666667,-4,0.107142857,-2,-1,0.666666667,-1,0,-2,-1,1,0
-2,0.294117647,-2,-5,0.678386706,-2,-1,1,-2,-1,0.333333333,-3,0.446428571,-1,-2,0,-3,0,-1,-1,1,1
-3,0.294117647,-2,-1,0.174975239,-3,-1,0.666666667,-1,-1,0.333333333,-4,0.214285714,-1,-1,0,-1,1,-1,-1,1,0
-3,0.073529412,-1,-4,0.103664576,-2,-2,1,-1,-1,1,-4,0.517857143,-1,-1,0.666666667,-1,0,-1,-1,1,0
-1,0.029411765,-2,-1,0.131891713,-3,-2,0.333333333,-1,-1,0.666666667,-1,0.446428571,-1,-3,0,-1,1,-2,-1,1,0
-1,0.088235294,-1,-4,0.109552107,-2,-5,0,-1,-1,0.666666667,-1,0.517857143,-1,-3,0.333333333,-2,1,-2,-2,1,0
-2,0.117647059,-1,-5,0.085506768,-5,-5,0.666666667,-1,-1,1,-2,0.446428571,-1,-1,0,-1,0,-2,-1,1,0
-3,0.088235294,-1,-3,0.100088038,-1,-2,0.333333333,-4,-1,0,-4,0.125,-1,-1,0.333333333,-1,0,-2,-2,1,0
-1,0.029411765,-2,-3,0.061846594,-2,-2,0,-1,-1,0.333333333,-1,0.303571429,-2,-1,0,-2,0,-1,-1,1,0
-3,0.029411765,-4,-1,0.009684164,-2,-1,1,-4,-1,1,-4,0.357142857,-1,-1,0,-2,0,-2,-1,1,0
-4,0.117647059,-5,-1,0.008748762,-4,-2,0.666666667,-2,-1,0.666666667,-1,0.410714286,-1,-3,0.333333333,-1,0,-2,-1,1,0
-2,0.044117647,-2,-1,0.119126224,-2,-2,0.666666667,-1,-2,0.333333333,-1,0.267857143,-1,-1,0,-1,0,-2,-1,1,0
-1,0.823529412,-3,-6,0.362385826,-2,-1,0.666666667,-1,-1,1,-3,0.785714286,-1,-1,0.333333333,-1,0,-1,-1,1,1
-2,0.205882353,-2,-6,0.091504347,-4,-5,0.666666667,-4,-1,0.666666667,-1,0.303571429,-2,-1,0,-1,0,-1,-1,1,0
-1,0.294117647,-2,-3,0.207439199,-2,-2,0.333333333,-1,-1,0.333333333,-4,0.142857143,-3,-1,0,-1,0,-2,-1,1,0
-2,0.205882353,-2,-4,0.309012876,-5,-2,0.333333333,-1,-1,0.333333333,-4,0.196428571,-1,-1,0.333333333,-1,0,-1,-1,1,0
-3,0.117647059,-1,-6,0.055793991,-1,-1,1,-1,-1,1,-3,0.678571429,-1,-3,0,-2,0,-2,-1,1,0
-4,0.117647059,-2,-3,0.06734896,-2,-5,1,-2,-1,0,-2,0.25,-2,-1,0,-3,0,-1,-1,1,0
-2,0.602941176,-1,-1,0.247386376,-2,-5,1,-1,-1,0.333333333,-2,0.107142857,-1,-1,0.333333333,-2,0,-2,-1,1,1
-3,0.647058824,-1,-2,0.322438649,-2,-2,0,-1,-1,0.666666667,-3,0.214285714,-2,-2,0,-1,0,-1,-1,1,0
-4,0.205882353,-2,-1,0.101793771,-2,-2,1,-1,-3,0.333333333,-1,0.321428571,-3,-1,0,-1,0,-2,-1,1,1
-4,0.088235294,-2,-7,0.053648069,-2,-2,0.333333333,-1,-1,0.333333333,-4,0.321428571,-1,-1,0,-1,0,-1,-1,1,0
-2,0.073529412,-2,-1,0.011444921,-2,-2,1,-1,-1,0.666666667,-1,0.089285714,-1,-1,0,-1,0,-2,-1,0,0
-3,0.382352941,-2,-1,0.114614284,-3,-1,1,-1,-1,0.333333333,-4,0.196428571,-2,-1,0,-3,0,-2,-1,1,0
-2,0.117647059,-2,-1,0.049961483,-3,-2,0.666666667,-3,-1,0,-4,0.125,-1,-1,0,-1,0,-1,-1,1,0
-2,0.205882353,-3,-8,0.327610873,-2,-2,0.333333333,-1,-1,1,-1,0.446428571,-1,-1,0,-2,1,-1,-1,1,0
-1,0.382352941,-1,-5,0.32667547,-5,-3,0,-4,-1,1,-4,0.089285714,-1,-3,0.333333333,-1,0,-2,-1,0,0
-1,0.647058824,-1,-5,0.324254429,-2,-1,1,-2,-1,1,-3,0.696428571,-3,-2,0.333333333,-2,0,-2,-1,1,1
-3,0.102941176,-1,-4,0.062892044,-2,-5,1,-2,-1,1,-4,0.285714286,-1,-1,0.333333333,-3,0,-2,-1,1,0
-3,0.470588235,-2,-1,0.11274348,-3,-1,1,-1,-1,1,-4,0.357142857,-1,-1,0,-1,0,-2,-1,1,0
-1,0.029411765,-2,-5,0.060636074,-3,-4,0,-2,-1,0.333333333,-2,0.071428571,-1,-3,0,-4,0,-1,-1,0,0
-3,0.102941176,-1,-4,0.383955101,-2,-2,0,-1,-1,1,-2,0.357142857,-1,-1,0.333333333,-2,0,-2,-1,1,0
-3,0.117647059,-2,-1,0.100308132,-5,-2,1,-2,-3,0.333333333,-1,0.160714286,-1,-1,0,-1,0,-2,-1,1,0
-2,0.294117647,-3,-3,0.114614284,-1,-5,1,-1,-1,0.333333333,-2,0.178571429,-2,-1,0,-2,0,-2,-1,1,0
-2,0.338235294,-3,-5,0.314460218,-2,-1,0,-1,-1,0.333333333,-4,0.196428571,-1,-1,0.333333333,-3,0,-1,-1,1,0
-3,0.117647059,-2,-1,0.055683944,-2,-2,0.666666667,-1,-1,0.333333333,-4,0.107142857,-1,-1,0,-1,0,-2,-1,1,0
-3,0.205882353,-2,-5,0.172114009,-1,-2,0.333333333,-1,-1,0,-2,0.214285714,-1,-1,0,-1,0,-1,-1,1,0
-2,0.470588235,-3,-4,0.108671729,-2,-1,1,-1,-1,1,-3,0.678571429,-2,-2,0.333333333,-1,0,-1,-1,1,1
-3,0.029411765,-5,-4,0.029327611,-1,-2,0,-1,-2,0.333333333,-1,0.125,-3,-1,0,-2,1,-2,-1,1,0
-2,0.117647059,-2,-1,0.342137119,-1,-4,0.333333333,-1,-1,0,-3,0.589285714,-1,-1,0,-3,0,-1,-1,1,1
-3,0.470588235,-1,-1,0.512600418,-2,-2,0.333333333,-2,-1,0.333333333,-4,0.214285714,-3,-1,0.333333333,-1,0,-2,-1,1,0
-4,0.205882353,-2,-4,0.094145483,-2,-1,0.666666667,-2,-1,0.333333333,-4,0.071428571,-1,-1,0,-3,0,-2,-1,0,0
-1,0.470588235,-1,-3,0.328986464,-2,-5,1,-2,-3,1,-3,0.071428571,-1,-3,0.333333333,-2,0,-1,-1,0,1
-2,0.073529412,-2,-6,0.062781996,-2,-2,0.333333333,-4,-1,0,-1,0.142857143,-2,-1,0,-1,0,-1,-1,1,0
-2,0.161764706,-1,-1,0.070815451,-1,-1,1,-1,-2,1,-1,0.553571429,-1,-1,0.333333333,-1,0,-1,-1,1,0
-2,0.470588235,-4,-6,0.093705293,-2,-1,1,-1,-1,1,-3,0.75,-1,-2,0,-3,0,-1,-1,1,1
-2,0.647058824,-4,-6,0.779740288,-2,-2,0.333333333,-1,-1,0.333333333,-4,0.107142857,-1,-1,0,-1,0,-1,-1,1,1
-3,0.294117647,-2,-1,0.161274348,-2,-5,1,-2,-1,1,-2,0.125,-1,-1,0,-1,0,-1,-1,1,0
-3,0.338235294,-2,-8,0.271816881,-1,-1,1,-1,-1,1,-2,0.517857143,-1,-1,1,-1,1,-1,-1,1,0
-3,0.117647059,-2,-1,0.105700451,-2,-5,0.333333333,-2,-1,0.333333333,-4,0.178571429,-2,-1,0,-1,0,-2,-1,1,0
-2,0.117647059,-2,-4,0.041652911,-4,-2,1,-4,-1,0,-1,0.053571429,-1,-1,0,-1,0,-2,-1,0,0
-3,0.470588235,-2,-2,0.086332123,-2,-2,1,-1,-1,1,-3,0.321428571,-3,-2,0,-1,0,-1,-1,1,1
-3,0.470588235,-2,-1,0.117970727,-1,-2,1,-2,-1,1,-4,0.107142857,-1,-1,0,-1,0,-2,-1,1,0
-3,0.470588235,-2,-5,0.433751513,-2,-2,0,-2,-1,0.333333333,-2,0.196428571,-2,-1,0,-1,0,-2,-1,1,0
-3,0.044117647,-1,-1,0.026411357,-1,-1,1,-1,-1,0.333333333,-2,0.482142857,-1,-3,0.333333333,-2,0,-1,-1,1,0
-1,0.058823529,-1,-9,0.050291625,-2,-1,0.666666667,-1,-1,1,-3,0.571428571,-2,-2,0.333333333,-3,1,-1,-1,1,0
-2,0.558823529,-1,-6,0.313854958,-2,-3,0.333333333,-2,-1,0,-1,0.392857143,-2,-1,0.333333333,-2,0,-2,-1,1,0
-1,0.470588235,-2,-2,0.095025861,-1,-1,1,-1,-1,1,-3,0.375,-1,-1,0,-3,0,-1,-1,1,1
-1,0.117647059,-1,-5,0.07021019,-2,-1,1,-1,-1,1,-3,0.839285714,-1,-2,0.333333333,-3,0,-2,-1,1,0
-1,0.558823529,-2,-1,0.204412898,-2,-5,1,-1,-1,0.666666667,-4,0.267857143,-1,-1,0,-1,0,-2,-1,1,1
-2,0.102941176,-3,-1,0.248761968,-2,-3,0.333333333,-1,-1,1,-2,0.571428571,-1,-1,0,-1,0,-2,-1,1,0
-3,0.735294118,-4,-5,0.505447342,-1,-2,0.333333333,-1,-1,0.333333333,-2,0.357142857,-1,-1,0,-2,1,-2,-1,1,0
-2,0.382352941,-2,-3,0.197094751,-2,-5,0.333333333,-4,-1,0,-2,0.053571429,-1,-1,0,-1,0,-2,-1,0,0
-3,0.294117647,-2,-1,0.313249697,-1,-5,0,-2,-1,0,-4,0.446428571,-1,-1,0.333333333,-1,0,-1,-1,1,1
-3,0.161764706,-2,-1,0.052987785,-3,-1,1,-1,-1,0.666666667,-2,0.5,-3,-1,0,-1,0,-1,-1,1,0
-3,0.205882353,-2,-6,0.072521184,-5,-2,0.666666667,-2,-1,1,-2,0.089285714,-1,-3,0,-2,0,-2,-1,0,0
-1,0.294117647,-2,-9,0.082810609,-2,-1,1,-2,-2,1,-1,0.696428571,-1,-1,0,-2,0,-1,-1,1,0
-1,0.088235294,-2,-1,0.113623858,-2,-1,0.666666667,-1,-1,1,-1,0.589285714,-1,-1,0,-2,0,-2,-1,1,0
-3,0.117647059,-1,-6,0.063937493,-2,-2,1,-2,-2,0.333333333,-1,0.178571429,-1,-1,0.333333333,-3,0,-1,-1,1,0
-2,0.205882353,-1,-3,0.057499725,-2,-5,1,-2,-1,0,-2,0.142857143,-1,-1,0.333333333,-1,0,-2,-1,1,0
-2,0.470588235,-2,-2,0.680202487,-5,-2,0,-1,-1,1,-3,0.5,-1,-2,0,-1,1,-1,-1,1,1
-1,0.205882353,-2,-4,0.109992297,-5,-3,1,-1,-1,0.666666667,-4,0.196428571,-1,-1,0,-3,1,-1,-1,1,0
-1,0.117647059,-4,-8,0.0472103,-2,-3,1,-1,-1,0.666666667,-1,0.160714286,-1,-1,0.333333333,-1,0,-2,-1,1,1
-3,0.117647059,-1,-1,0.020248707,-2,-1,1,-1,-1,1,-1,0.660714286,-1,-1,0,-1,0,-2,-1,1,0
-1,0.117647059,-1,-5,0.063772422,-2,-1,1,-1,-1,0.666666667,-1,0.625,-1,-1,0,-1,0,-2,-1,1,0
-3,0.117647059,-1,-1,0.030097942,-1,-1,1,-2,-1,0.666666667,-2,0.25,-2,-1,0,-2,1,-2,-1,1,1
-4,0.294117647,-1,-3,0.185264664,-1,-1,1,-1,-3,1,-3,0.017857143,-1,-3,0.333333333,-1,0,-2,-1,0,0
-2,0.117647059,-2,-4,0.058765269,-4,-1,1,-1,-1,1,-1,0.625,-1,-1,0,-1,0,-1,-1,1,0
-2,0.735294118,-4,-6,0.863596346,-2,-5,0.666666667,-1,-1,1,-3,0.696428571,-1,-3,0,-1,0,-1,-1,1,1
-3,0.117647059,-1,-2,0.096951689,-1,-3,1,-2,-1,0.333333333,-4,0.75,-1,-1,0,-1,0,-2,-1,1,0
-2,0.205882353,-2,-6,0.130516122,-5,-2,1,-1,-1,1,-4,0.267857143,-1,-1,0,-1,0,-2,-1,1,0
-2,0.470588235,-1,-1,0.114834379,-2,-1,1,-1,-1,1,-1,0.303571429,-1,-1,0,-1,0,-2,-1,1,0
-2,0.235294118,-3,-5,0.374546055,-1,-3,0.666666667,-1,-1,1,-2,0.303571429,-2,-3,0.333333333,-3,1,-1,-1,1,0
-3,0.294117647,-2,-4,0.067073842,-5,-1,1,-4,-1,1,-1,0.392857143,-1,-3,0,-2,0,-2,-1,1,0
-2,0.470588235,-2,-1,0.114064048,-2,-3,1,-1,-1,1,-4,0.089285714,-1,-3,0,-1,0,-2,-1,0,0
-3,0.029411765,-3,-1,0.037526136,-2,-2,0.666666667,-2,-1,0.333333333,-1,0.089285714,-1,-1,0,-1,0,-2,-1,0,0
-2,0.073529412,-1,-3,0.091834489,-2,-3,1,-1,-1,0.666666667,-4,0.285714286,-1,-3,0,-1,0,-1,-1,1,0
-3,0.117647059,-2,-5,0.120776934,-1,-5,0.333333333,-4,-1,1,-4,0.125,-1,-3,0,-1,0,-1,-1,1,0
-2,0.294117647,-1,-9,0.64311654,-2,-2,0.333333333,-1,-3,0.666666667,-4,0.357142857,-1,-1,0.333333333,-3,1,-1,-1,1,1
-3,0.205882353,-5,-4,0.341586882,-2,-1,0.333333333,-1,-1,1,-3,0.357142857,-2,-1,0.333333333,-3,1,-1,-1,1,1
-2,0.117647059,-2,-4,0.320677891,-2,-3,0.333333333,-1,-1,0.333333333,-4,0.232142857,-1,-1,0,-1,0,-2,-1,1,0
-1,0.294117647,-2,-3,0.411081765,-1,-5,0,-2,-1,0.333333333,-2,0.196428571,-1,-1,0,-1,0,-1,-2,1,0
-2,0.147058824,-2,-6,0.063827446,-3,-1,0,-4,-1,0.333333333,-1,0.285714286,-1,-1,0,-1,0,-1,-1,1,0
-2,0.029411765,-3,-6,0.065973369,-5,-1,0,-3,-1,0.333333333,-4,0.214285714,-2,-1,0.333333333,-1,1,-2,-1,1,0
-4,0.161764706,-2,-2,0.00781336,-2,-5,1,-2,-1,1,-2,0.071428571,-1,-3,0,-1,0,-1,-1,0,0
-2,0.205882353,-2,-4,0.330692198,-2,-3,0.666666667,-1,-1,0.666666667,-1,0.160714286,-1,-3,0,-2,0,-2,-1,1,0
-3,0.470588235,-1,-4,0.418454936,-2,-2,1,-2,-1,0.333333333,-1,0.107142857,-3,-1,0.333333333,-1,0,-1,-1,1,1
-1,0.117647059,-2,-1,0.078683834,-3,-1,0.666666667,-4,-1,0,-1,0.285714286,-1,-1,0,-1,0,-2,-1,1,0
-3,0.647058824,-1,-1,0.183118741,-1,-1,1,-1,-1,0,-1,0.5,-1,-1,0,-1,0,-1,-1,1,0
-1,0.558823529,-2,-1,0.380983823,-1,-3,1,-2,-1,0.666666667,-4,0.196428571,-1,-1,0,-3,0,-1,-1,1,1
-1,0.088235294,-1,-3,0.103554528,-1,-5,0.333333333,-2,-3,0.666666667,-1,0.142857143,-1,-3,0.333333333,-1,0,-2,-2,1,0
-1,0.426470588,-1,-3,0.221800374,-3,-2,0,-2,-1,1,-4,0.071428571,-1,-1,0.333333333,-1,0,-2,-1,0,1
-2,0.117647059,-1,-4,0.116430065,-3,-3,0.666666667,-3,-1,0.666666667,-4,0.303571429,-1,-1,0,-3,0,-1,-1,1,0
-1,0.25,-2,-1,0.087212501,-2,-2,0.666666667,-2,-1,0.333333333,-1,0.107142857,-1,-1,0.333333333,-1,0,-1,-1,1,1
-3,0.294117647,-1,-5,0.199075603,-2,-1,1,-2,-1,0.333333333,-4,0.392857143,-1,-3,0.333333333,-3,0,-1,-1,1,0
-3,0.117647059,-2,-3,0.083525916,-2,-2,0.666666667,-1,-1,0.333333333,-1,0.089285714,-1,-3,0,-2,0,-2,-1,0,0
-4,0.088235294,-1,-4,0.029217564,-2,-1,1,-1,-1,1,-3,0.785714286,-1,-2,0.333333333,-1,0,-1,-1,1,0
-2,0.205882353,-2,-3,0.092109607,-1,-5,1,-2,-1,0.666666667,-1,0.142857143,-1,-3,0,-1,0,-2,-1,1,1
-1,0.117647059,-1,-4,0.102949268,-2,-2,1,-1,-1,0.333333333,-2,0.196428571,-1,-1,0.333333333,-1,0,-2,-1,1,0
-1,0.117647059,-2,-1,0.024815671,-2,-2,1,-4,-1,0.333333333,-1,0.375,-1,-1,0,-2,0,-2,-1,1,0
-2,0.117647059,-2,-8,0.021404204,-2,-2,1,-1,-1,0.333333333,-4,0.196428571,-1,-1,0,-1,0,-2,-1,1,1
-2,0.117647059,-1,-5,0.088588093,-2,-4,1,-1,-1,0.333333333,-4,0.267857143,-1,-1,0.333333333,-3,0,-1,-1,1,0
-1,0.117647059,-1,-4,0.178771872,-2,-2,0.666666667,-2,-3,0.333333333,-1,0.178571429,-1,-1,0.333333333,-1,0,-2,-1,1,1
-2,0.647058824,-2,-4,0.453229889,-1,-3,0,-2,-1,0.333333333,-4,0.089285714,-1,-1,0,-1,0,-2,-1,0,0
-1,0.470588235,-3,-2,0.365192033,-2,-2,1,-1,-1,0.666666667,-2,0.178571429,-3,-1,0,-1,0,-1,-1,1,1
-3,0.161764706,-2,-3,0.135248157,-2,-5,0.333333333,-1,-1,0.666666667,-2,0.142857143,-2,-1,0.333333333,-2,0,-2,-1,1,0
-3,0.205882353,-2,-3,0.095411027,-2,-2,1,-1,-1,1,-3,0.5,-2,-2,0.333333333,-1,0,-2,-1,1,0
-3,0.823529412,-2,-1,0.544404094,-5,-3,0.333333333,-2,-1,1,-1,0.035714286,-1,-1,0,-1,0,-1,-1,0,0
-3,0.117647059,-1,-1,0.054473424,-1,-1,1,-2,-1,0.333333333,-1,0.339285714,-1,-1,0.333333333,-1,0,-1,-1,1,0
-3,0.338235294,-3,-5,0.46016287,-4,-2,0.333333333,-1,-1,0.333333333,-4,0.142857143,-1,-1,0.333333333,-1,0,-2,-1,1,0
-2,0.117647059,-2,-1,0.028392209,-3,-2,1,-1,-1,0.666666667,-1,0.839285714,-1,-1,0,-2,0,-2,-1,1,1
-2,0.161764706,-1,-1,0.13634863,-1,-3,1,-1,-2,0.333333333,-1,0.285714286,-2,-1,0.666666667,-1,0,-1,-1,1,0
-4,0.117647059,-2,-1,0.08974359,-2,-2,0.333333333,-2,-1,0.333333333,-4,0.446428571,-1,-3,0,-2,0,-1,-1,1,0
-4,0.029411765,-2,-4,0.02525586,-4,-5,0.333333333,-4,-1,0.333333333,-1,0.142857143,-1,-1,0,-4,0,-2,-2,1,0
-2,0.470588235,-2,-1,0.250082535,-2,-5,1,-2,-1,0,-3,0.196428571,-1,-1,0,-3,0,-1,-1,1,0
-1,0.338235294,-2,-1,0.174204908,-2,-2,0.666666667,-1,-1,0.333333333,-4,0.142857143,-1,-1,0,-3,0,-2,-1,1,0
-1,0.205882353,-2,-3,0.121712336,-2,-2,0.333333333,-1,-1,0.333333333,-4,0.053571429,-1,-1,0,-1,0,-2,-1,0,1
-3,0.25,-1,-3,0.112138219,-2,-5,1,-2,-1,1,-2,0.071428571,-1,-1,0,-1,0,-1,-1,0,0
-2,0.647058824,-5,-6,0.182458457,-5,-3,1,-1,-1,0.333333333,-4,0.196428571,-1,-1,0,-1,0,-2,-1,1,0
-1,0.029411765,-1,-4,0.033564433,-2,-1,0,-2,-1,1,-3,0.357142857,-1,-1,0.333333333,-1,0,-1,-1,1,0
-3,0.117647059,-1,-4,0.023770221,-5,-3,1,-2,-1,0.666666667,-4,0.571428571,-1,-1,0.333333333,-1,0,-1,-1,1,0
-1,0.470588235,-1,-3,0.281776164,-2,-2,0.666666667,-1,-2,0.333333333,-2,0.160714286,-1,-1,0.333333333,-1,0,-2,-1,1,0
-3,0.205882353,-1,-1,0.073291515,-4,-1,1,-1,-1,1,-4,0.482142857,-1,-1,0.333333333,-1,0,-2,-1,1,0
-3,0.029411765,-2,-1,0.060305932,-5,-1,0.333333333,-1,-1,1,-3,0.410714286,-2,-2,0,-1,1,-1,-1,1,0
-3,0.088235294,-2,-1,0.092109607,-2,-2,0,-1,-1,1,-2,0.339285714,-1,-1,0,-1,0,-1,-2,1,0
-4,0.470588235,-2,-1,0.30802245,-2,-2,1,-1,-1,0,-4,0.089285714,-1,-1,0,-1,0,-2,-1,0,0
-2,0.294117647,-1,-5,0.413117641,-4,-1,0.333333333,-2,-1,1,-3,0.178571429,-1,-3,0,-1,0,-2,-1,1,0
-2,0.294117647,-3,-6,0.369593925,-5,-3,1,-1,-1,1,-4,0.303571429,-1,-3,0,-3,0,-1,-1,1,0
-1,0.117647059,-2,-3,0.056784417,-2,-2,0.333333333,-2,-1,1,-4,0.017857143,-1,-3,0,-1,0,-2,-1,0,1
-1,0.073529412,-1,-8,0.057114559,-5,-1,0.666666667,-1,-2,1,-1,0.517857143,-1,-1,0.333333333,-1,1,-2,-2,1,0
-1,0.117647059,-5,-10,0.004897106,-2,-1,1,-4,-1,0,-4,0.464285714,-2,-1,0,-2,0,-2,-1,1,0
-2,0.294117647,-2,-4,0.179487179,-5,-3,0.333333333,-1,-1,0.666666667,-4,0.339285714,-2,-1,0.333333333,-1,0,-1,-1,1,0
-3,0.029411765,-1,-1,0.090678992,-1,-2,0,-1,-1,0.333333333,-1,0.267857143,-1,-1,0.333333333,-2,1,-2,-1,1,0
-3,0.294117647,-1,-1,0.144272037,-5,-1,0.666666667,-1,-1,1,-1,0.303571429,-1,-1,0,-1,1,-1,-1,1,0
-3,0.205882353,-1,-4,0.044294046,-2,-5,1,-2,-1,0,-2,0.196428571,-1,-1,0.333333333,-1,0,-2,-1,1,0
-3,0.161764706,-2,-7,0.055683944,-3,-3,1,-1,-1,0.666666667,-2,0.303571429,-1,-1,0.333333333,-1,0,-1,-1,1,0
-2,0.088235294,-2,-4,0.388356994,-2,-4,0.333333333,-1,-1,1,-3,0.910714286,-2,-2,0,-3,0,-1,-1,1,0
